SECTION, KEYWORD, DESCRIPTION
code.blocks                                   ,   block.case_if                  ,    conditional case statement                                                                                                    
code.blocks                                   ,   block.catch                    ,    catch block                                                                                                                   
code.blocks                                   ,   block.die                      ,    how to terminate a process with error message                                                                                 
code.blocks                                   ,   block.else                     ,    else statement                                                                                                                
code.blocks                                   ,   block.else_if                  ,    elseif statement                                                                                                              
code.blocks                                   ,   block.finally                  ,    finally block                                                                                                                 
code.blocks                                   ,   block.if                       ,    if statement                                                                                                                  
code.blocks                                   ,   block.pause                    ,    how to pause the process                                                                                                      
code.blocks                                   ,   block.qmark_if                 ,    ternary qmark question mark conditional if statement                                                                          
code.blocks                                   ,   block.quit                     ,    how to terminate a process                                                                                                    
code.blocks                                   ,   block.switch                   ,    switch statement                                                                                                              
code.blocks                                   ,   block.try                      ,    try block                                                                                                                     
code.blocks                                   ,   block.try_catch                ,    a simple try-catch block                                                                                                      
code.comments                                 ,   codecmmt.beginend              ,    a generic begin-end multiline comment region                                                                                  
code.comments                                 ,   codecmmt.docgen                ,    docgen tag                                                                                                                    
code.comments                                 ,   codecmmt.multi                 ,    multi-line cmmt                                                                                                               
code.comments                                 ,   codecmmt.single                ,    single-line cmmt                                                                                                              
code.comments                                 ,   codecmmt.xregion               ,    my_generic_region tag                                                                                                         
debugging.operations                          ,   codedebug.log                  ,    logging errors and program info to a log file                                                                                 
debugging.operations                          ,   codedebug.test                 ,    if statement used for debugging or example                                                                                    
basic.code.structure            ,   codeelem.block                 ,    bare code block                                                                                                               
basic.code.structure            ,   codeelem.end_code              ,    end code                                                                                                                      
basic.code.structure            ,   codeelem.init_code             ,    init code                                                                                                                     
basic.code.structure            ,   codeelem.init_lib              ,    init library                                                                                                                  
basic.code.structure            ,   codeelem.init_vars             ,    init vars                                                                                                                     
basic.code.structure            ,   codeelem.line_contin           ,    line continuation for putting a newline in the middle of a statement (language dependent)                                     
basic.code.structure            ,   codeelem.line_termin           ,    line termination character (e.g. semicolon) for langages that require it                                                      
